Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Vieira do Minho,69699,6483710,14427987,20323381,943581,1190215,43438573
Vila da Praia da Vitoria,646364,27032550,23871121,8480909,1922837,2056644,64010425
Vila de Rei,282932,2244375,3835620,544412,2122658,857095,9887092
Vila do Bispo,506223,10412730,14971074,989130,1193296,1319166,29391619
Vila do Conde,5051241,79864935,105535968,155748915,5255567,12356589,363813215
Vila do Porto,160372,7675757,6317984,1412654,1951973,1419575,18938315
Vila Flor,2617480,3490932,8012595,3729844,1372133,1814895,21037879
Vila Franca de Xira,3498753,126291732,136004179,490222334,9920048,11399320,815781934
Vila Franca do Campo,1047881,6298244,9905866,1132998,444245,946459,19775693
Vila Nova da Barquinha,719535,2675321,8633322,2038843,2959662,1399223,18425906
Vila Nova de Cerveira,99440,7690509,13002887,34281949,1965753,1550262,58590800
Vila Nova de Famalicao,5609992,91488363,164860766,515794522,11685955,14015322,803456483
Vila Nova de Foz Coa,801570,3802788,9225487,4097648,1622837,2240946,21791276
Vila Nova de Gaia,2901805,269307861,420839010,383774814,19108833,27133795,1123387588
Vila Nova de Paiva,817007,2546322,5811424,638298,1519724,1199918,12532693
Vila Nova de Poiares,42747,5127292,9138563,6041588,845724,395201,21591115
Vila Pouca de Aguiar,209097,13954912,15464426,16125587,3513543,3441874,52709439
Vila Real,3358403,47419311,63048159,16668947,14411739,7587647,152494206
Vila Real de Santo Antonio,1819753,28324230,31936833,4603718,2731702,2936346,72383605
Vila Velha de Rodao,3209767,2535945,4566194,260695454,594670,1068029,272670059
Vila Verde,2630699,23338961,53268893,23758895,3821429,7474623,114293500
Vila Vicosa,1539079,6392099,11407710,15440377,1435945,412592,36627802
Vimioso,50316,1675621,5744194,370225,2063661,661004,10565021
Vinhais,84075,2889638,9802169,1522634,1724064,2066950,18089530
Viseu,4379622,98179297,125538064,50543142,23411606,15453208,317504939
Vizela,278815,14265416,26218995,37062145,1488175,2181426,81494972
Vouzela,766581,5082718,11125329,3877836,1107818,791272,22751554
